channel_0,sample #,type
0.09,2917587,B
-0.085,2917588,NC
-0.06,2917589,NC
-0.03,2917590,NC
-0.05,2917591,NC
-0.08,2917592,NC
-0.09,2917593,NC
-0.125,2917594,NC
-0.13,2917595,NC
-0.145,2917596,NC
-0.155,2917597,NC
-0.17,2917598,NC
-0.185,2917599,NC
-0.22,2917600,NC
-0.24,2917601,NC
-0.275,2917602,NC
-0.315,2917603,NC
-0.33,2917604,NC
-0.355,2917605,NC
-0.39,2917606,NC
-0.44,2917607,NC
-0.48,2917608,NC
-0.53,2917609,NC
-0.58,2917610,NC
-0.63,2917611,NC
-0.7,2917612,NC
-0.755,2917613,NC
-0.785,2917614,NC
-0.815,2917615,NC
-0.835,2917616,NC
-0.855,2917617,NC
-0.87,2917618,NC
-0.865,2917619,NC
-0.865,2917620,NC
-0.875,2917621,NC
-0.87,2917622,NC
-0.855,2917623,NC
-0.84,2917624,NC
-0.84,2917625,NC
-0.84,2917626,NC
-0.825,2917627,NC
-0.79,2917628,NC
-0.75,2917629,NC
-0.71,2917630,NC
-0.665,2917631,NC
-0.615,2917632,NC
-0.555,2917633,NC
-0.475,2917634,NC
-0.44,2917635,NC
-0.395,2917636,NC
-0.37,2917637,NC
-0.36,2917638,NC
-0.34,2917639,NC
-0.31,2917640,NC
-0.28,2917641,NC
-0.27,2917642,NC
-0.255,2917643,NC
-0.255,2917644,NC
-0.235,2917645,NC
-0.225,2917646,NC
-0.22,2917647,NC
-0.215,2917648,NC
-0.215,2917649,NC
-0.215,2917650,NC
-0.22,2917651,NC
-0.2,2917652,NC
-0.195,2917653,NC
-0.2,2917654,NC
-0.195,2917655,NC
-0.185,2917656,NC
-0.18,2917657,NC
-0.16,2917658,NC
-0.14,2917659,NC
-0.13,2917660,NC
-0.115,2917661,NC
-0.125,2917662,NC
-0.125,2917663,NC
-0.105,2917664,NC
-0.095,2917665,NC
-0.09,2917666,NC
-0.1,2917667,NC
-0.09,2917668,NC
-0.08,2917669,NC
-0.08,2917670,NC
-0.075,2917671,NC
-0.065,2917672,NC
-0.06,2917673,NC
-0.075,2917674,NC
-0.075,2917675,NC
-0.065,2917676,NC
-0.045,2917677,NC
-0.045,2917678,NC
-0.06,2917679,NC
-0.07,2917680,NC
-0.075,2917681,NC
-0.055,2917682,NC
-0.035,2917683,NC
-0.025,2917684,NC
-0.03,2917685,NC
-0.035,2917686,NC
-0.035,2917687,NC
-0.025,2917688,NC
-0.02,2917689,NC
-0.01,2917690,NC
-0.025,2917691,NC
-0.015,2917692,NC
-0.01,2917693,NC
-0.005,2917694,NC
-0.015,2917695,NC
-0.01,2917696,NC
-0.005,2917697,NC
-0.015,2917698,NC
-0.015,2917699,NC
0.01,2917700,NC
0.03,2917701,NC
0.03,2917702,NC
0.015,2917703,NC
0.0,2917704,NC
0.01,2917705,NC
0.025,2917706,NC
0.045,2917707,NC
0.04,2917708,NC
0.035,2917709,NC
0.04,2917710,NC
0.035,2917711,NC
0.035,2917712,NC
0.05,2917713,NC
0.05,2917714,NC
0.03,2917715,NC
0.035,2917716,NC
0.035,2917717,NC
0.045,2917718,NC
0.06,2917719,NC
0.06,2917720,NC
0.04,2917721,NC
0.035,2917722,NC
0.03,2917723,NC
0.04,2917724,NC
0.055,2917725,NC
0.05,2917726,NC
0.055,2917727,NC
0.02,2917728,NC
0.025,2917729,NC
0.03,2917730,NC
0.035,2917731,NC
0.04,2917732,NC
0.02,2917733,NC
0.015,2917734,NC
-0.01,2917735,NC
0.01,2917736,NC
0.01,2917737,NC
0.015,2917738,NC
-0.015,2917739,NC
-0.03,2917740,NC
-0.035,2917741,NC
-0.02,2917742,NC
-0.02,2917743,NC
-0.03,2917744,NC
-0.05,2917745,NC
-0.04,2917746,NC
-0.05,2917747,NC
-0.04,2917748,NC
-0.04,2917749,NC
-0.04,2917750,NC
-0.065,2917751,NC
-0.08,2917752,NC
-0.09,2917753,NC
-0.095,2917754,NC
-0.095,2917755,NC
-0.105,2917756,NC
-0.12,2917757,NC
-0.14,2917758,NC
-0.15,2917759,NC
-0.155,2917760,NC
-0.155,2917761,NC
-0.165,2917762,NC
-0.18,2917763,NC
-0.185,2917764,NC
-0.19,2917765,NC
-0.19,2917766,NC
-0.195,2917767,NC
-0.205,2917768,NC
-0.205,2917769,NC
-0.21,2917770,NC
-0.23,2917771,NC
-0.22,2917772,NC
-0.21,2917773,NC
-0.215,2917774,NC
-0.22,2917775,NC
-0.225,2917776,NC
-0.235,2917777,NC
-0.23,2917778,NC
-0.22,2917779,NC
-0.22,2917780,NC
-0.235,2917781,NC
-0.24,2917782,NC
-0.245,2917783,NC
-0.245,2917784,NC
-0.245,2917785,NC
-0.245,2917786,NC
-0.245,2917787,NC
-0.255,2917788,NC
-0.255,2917789,NC
-0.25,2917790,NC
-0.24,2917791,NC
-0.24,2917792,NC
-0.25,2917793,NC
-0.255,2917794,NC
-0.27,2917795,NC
-0.255,2917796,NC
-0.25,2917797,NC
-0.25,2917798,NC
-0.265,2917799,NC
-0.265,2917800,NC
-0.255,2917801,NC
-0.265,2917802,NC
-0.255,2917803,NC
-0.25,2917804,NC
-0.275,2917805,NC
-0.27,2917806,NC
-0.28,2917807,NC
-0.26,2917808,NC
-0.25,2917809,NC
-0.25,2917810,NC
-0.255,2917811,NC
-0.27,2917812,NC
-0.275,2917813,NC
-0.27,2917814,NC
-0.265,2917815,NC
-0.275,2917816,NC
-0.28,2917817,NC
-0.295,2917818,NC
-0.3,2917819,NC
-0.29,2917820,NC
-0.28,2917821,NC
-0.27,2917822,NC
-0.28,2917823,NC
-0.3,2917824,NC
-0.295,2917825,NC
-0.295,2917826,NC
-0.275,2917827,NC
-0.29,2917828,NC
-0.28,2917829,NC
-0.295,2917830,NC
-0.295,2917831,NC
-0.28,2917832,NC
-0.29,2917833,NC
-0.3,2917834,NC
-0.29,2917835,NC
-0.3,2917836,NC
-0.305,2917837,NC
-0.29,2917838,NC
-0.295,2917839,NC
-0.295,2917840,NC
-0.285,2917841,NC
-0.3,2917842,NC
-0.315,2917843,NC
-0.295,2917844,NC
-0.275,2917845,NC
-0.28,2917846,NC
-0.275,2917847,NC
-0.29,2917848,NC
-0.285,2917849,NC
-0.28,2917850,NC
-0.275,2917851,NC
-0.275,2917852,NC
-0.28,2917853,NC
-0.28,2917854,NC
-0.285,2917855,NC
-0.26,2917856,NC
-0.21,2917857,NC
-0.16,2917858,NC
-0.12,2917859,NC
-0.07,2917860,NC
-0.01,2917861,NC
0.065,2917862,NC
0.16,2917863,NC
0.23,2917864,NC
0.33,2917865,NC
0.46,2917866,NC
0.64,2917867,NC
0.83,2917868,NC
1.005,2917869,NC
1.115,2917870,NC
1.175,2917871,NC
1.11,2917872,f
0.945,2917873,NC
0.73,2917874,NC
0.615,2917875,NC
0.815,2917876,NC
1.02,2917877,NC
0.735,2917878,NC
0.205,2917879,NC
-0.16,2917880,NC
-0.26,2917881,NC
-0.25,2917882,NC
-0.26,2917883,NC
-0.305,2917884,NC
-0.34,2917885,NC
-0.345,2917886,NC
-0.33,2917887,NC
-0.325,2917888,NC
-0.335,2917889,NC
-0.33,2917890,NC
-0.345,2917891,NC
-0.335,2917892,NC
-0.32,2917893,NC
-0.33,2917894,NC
-0.335,2917895,NC
-0.365,2917896,NC
-0.36,2917897,NC
-0.355,2917898,NC
-0.35,2917899,NC
-0.355,2917900,NC
-0.355,2917901,NC
-0.375,2917902,NC
-0.38,2917903,NC
-0.375,2917904,NC
-0.365,2917905,NC
-0.37,2917906,NC
-0.375,2917907,NC
-0.38,2917908,NC
-0.4,2917909,NC
-0.395,2917910,NC
-0.39,2917911,NC
-0.39,2917912,NC
-0.4,2917913,NC
-0.41,2917914,NC
-0.42,2917915,NC
-0.415,2917916,NC
-0.42,2917917,NC
-0.415,2917918,NC
-0.415,2917919,NC
-0.43,2917920,NC
-0.45,2917921,NC
-0.435,2917922,NC
-0.435,2917923,NC
-0.435,2917924,NC
-0.45,2917925,NC
-0.46,2917926,NC
-0.465,2917927,NC
-0.455,2917928,NC
-0.465,2917929,NC
-0.475,2917930,NC
-0.47,2917931,NC
-0.48,2917932,NC
-0.5,2917933,NC
-0.495,2917934,NC
-0.485,2917935,NC
-0.49,2917936,NC
-0.495,2917937,NC
-0.515,2917938,NC
-0.52,2917939,NC
-0.515,2917940,NC
-0.515,2917941,NC
-0.51,2917942,NC
-0.52,2917943,NC
-0.535,2917944,NC
-0.535,2917945,NC
-0.535,2917946,NC
-0.54,2917947,NC
-0.54,2917948,NC
-0.545,2917949,NC
-0.55,2917950,NC
-0.56,2917951,NC
-0.555,2917952,NC
-0.55,2917953,NC
-0.545,2917954,NC
-0.55,2917955,NC
-0.56,2917956,NC
-0.56,2917957,NC
-0.555,2917958,NC
-0.555,2917959,NC
-0.55,2917960,NC
-0.545,2917961,NC
-0.56,2917962,NC
-0.56,2917963,NC
-0.56,2917964,NC
-0.54,2917965,NC
-0.54,2917966,NC
-0.535,2917967,NC
-0.545,2917968,NC
-0.545,2917969,NC
-0.53,2917970,NC
-0.52,2917971,NC
-0.51,2917972,NC
-0.505,2917973,NC
-0.51,2917974,NC
-0.495,2917975,NC
-0.49,2917976,NC
-0.485,2917977,NC
-0.465,2917978,NC
-0.455,2917979,NC
-0.46,2917980,NC
-0.45,2917981,NC
-0.44,2917982,NC
-0.42,2917983,NC
-0.415,2917984,NC
-0.4,2917985,NC
-0.4,2917986,NC
-0.405,2917987,NC
-0.375,2917988,NC
-0.36,2917989,NC
-0.36,2917990,NC
-0.355,2917991,NC
-0.36,2917992,NC
-0.355,2917993,NC
-0.33,2917994,NC
-0.325,2917995,NC
-0.32,2917996,NC
-0.315,2917997,NC
-0.32,2917998,NC
-0.315,2917999,NC
-0.3,2918000,NC
-0.285,2918001,NC
-0.29,2918002,NC
-0.3,2918003,NC
