channel_0,sample #,type
2.255,21611850,N
2.1975002,21611851,NC
2.015,21611852,NC
1.7149999,21611853,NC
1.3425,21611854,NC
0.945,21611855,NC
0.5475,21611856,NC
0.16499999,21611857,NC
-0.2,21611858,NC
-0.5325,21611859,NC
-0.7975,21611860,NC
-0.95500004,21611861,NC
-0.9975,21611862,NC
-0.945,21611863,NC
-0.8225,21611864,NC
-0.6875,21611865,NC
-0.58000004,21611866,NC
-0.51750004,21611867,NC
-0.5025,21611868,NC
-0.525,21611869,NC
-0.5675,21611870,NC
-0.605,21611871,NC
-0.625,21611872,NC
-0.635,21611873,NC
-0.6425,21611874,NC
-0.65,21611875,NC
-0.65999997,21611876,NC
-0.67,21611877,NC
-0.675,21611878,NC
-0.675,21611879,NC
-0.66499996,21611880,NC
-0.6575,21611881,NC
-0.6625,21611882,NC
-0.6725,21611883,NC
-0.6925,21611884,NC
-0.705,21611885,NC
-0.7075,21611886,NC
-0.71,21611887,NC
-0.705,21611888,NC
-0.7025,21611889,NC
-0.6975,21611890,NC
-0.6925,21611891,NC
-0.6925,21611892,NC
-0.6875,21611893,NC
-0.68,21611894,NC
-0.66499996,21611895,NC
-0.6525,21611896,NC
-0.6425,21611897,NC
-0.6325,21611898,NC
-0.6225,21611899,NC
-0.6175,21611900,NC
-0.6125,21611901,NC
-0.59000003,21611902,NC
-0.5575,21611903,NC
-0.51750004,21611904,NC
-0.47750002,21611905,NC
-0.45,21611906,NC
-0.435,21611907,NC
-0.41500002,21611908,NC
-0.39,21611909,NC
-0.3625,21611910,NC
-0.3275,21611911,NC
-0.2875,21611912,NC
-0.2475,21611913,NC
-0.2175,21611914,NC
-0.1875,21611915,NC
-0.1525,21611916,NC
-0.11750001,21611917,NC
-0.075,21611918,NC
-0.0275,21611919,NC
0.015000001,21611920,NC
0.055,21611921,NC
0.085,21611922,NC
0.115,21611923,NC
0.15,21611924,NC
0.1925,21611925,NC
0.24,21611926,NC
0.2875,21611927,NC
0.33249998,21611928,NC
0.3625,21611929,NC
0.39,21611930,NC
0.41,21611931,NC
0.42000002,21611932,NC
0.43,21611933,NC
0.4425,21611934,NC
0.45,21611935,NC
0.4475,21611936,NC
0.44,21611937,NC
0.435,21611938,NC
0.4275,21611939,NC
0.4275,21611940,NC
0.4375,21611941,NC
0.44,21611942,NC
0.4325,21611943,NC
0.41750002,21611944,NC
0.3875,21611945,NC
0.34750003,21611946,NC
0.31,21611947,NC
0.2825,21611948,NC
0.265,21611949,NC
0.245,21611950,NC
0.22749999,21611951,NC
0.215,21611952,NC
0.1925,21611953,NC
0.1725,21611954,NC
0.155,21611955,NC
0.1275,21611956,NC
0.1,21611957,NC
0.0775,21611958,NC
0.055,21611959,NC
0.024999999,21611960,NC
-0.0025,21611961,NC
-0.02,21611962,NC
-0.04,21611963,NC
-0.072500005,21611964,NC
-0.0925,21611965,NC
-0.095,21611966,NC
-0.095,21611967,NC
-0.1125,21611968,NC
-0.1425,21611969,NC
-0.1575,21611970,NC
-0.17,21611971,NC
-0.1825,21611972,NC
-0.1825,21611973,NC
-0.18,21611974,NC
-0.18,21611975,NC
-0.1875,21611976,NC
-0.19749999,21611977,NC
-0.1875,21611978,NC
-0.16749999,21611979,NC
-0.14750001,21611980,NC
-0.125,21611981,NC
-0.10250001,21611982,NC
-0.0775,21611983,NC
-0.06,21611984,NC
-0.035,21611985,NC
-0.005,21611986,NC
0.015000001,21611987,NC
0.0375,21611988,NC
0.0625,21611989,NC
0.09,21611990,NC
0.105,21611991,NC
0.099999994,21611992,NC
0.0875,21611993,NC
0.07,21611994,NC
0.04,21611995,NC
-0.0075000003,21611996,NC
-0.057499997,21611997,NC
-0.105,21611998,NC
-0.155,21611999,NC
-0.2025,21612000,NC
-0.24499999,21612001,NC
-0.265,21612002,NC
-0.26999998,21612003,NC
-0.2725,21612004,NC
-0.2625,21612005,NC
-0.2575,21612006,NC
-0.265,21612007,NC
-0.27,21612008,NC
-0.275,21612009,NC
-0.285,21612010,NC
-0.29,21612011,NC
-0.2825,21612012,NC
-0.275,21612013,NC
-0.26999998,21612014,NC
-0.26999998,21612015,NC
-0.28,21612016,NC
-0.285,21612017,NC
-0.285,21612018,NC
-0.285,21612019,NC
-0.2875,21612020,NC
-0.285,21612021,NC
-0.2875,21612022,NC
-0.3175,21612023,NC
-0.35750002,21612024,NC
-0.39,21612025,NC
-0.4075,21612026,NC
-0.39,21612027,NC
-0.325,21612028,NC
-0.20750001,21612029,NC
-0.025000002,21612030,NC
0.235,21612031,NC
0.5575,21612032,NC
0.9175,21612033,NC
1.2975,21612034,NC
1.6825,21612035,NC
2.03,21612036,NC
2.3,21612037,NC
2.475,21612038,NC
2.535,21612039,F
2.4725,21612040,NC
2.3075,21612041,NC
2.08,21612042,NC
1.8075,21612043,NC
1.5025,21612044,NC
1.1775,21612045,NC
0.84000003,21612046,NC
0.4925,21612047,NC
0.145,21612048,NC
-0.17,21612049,NC
-0.4025,21612050,NC
-0.53,21612051,NC
-0.565,21612052,NC
-0.53,21612053,NC
-0.4725,21612054,NC
-0.4375,21612055,NC
-0.445,21612056,NC
-0.47250003,21612057,NC
-0.5075,21612058,NC
-0.55499995,21612059,NC
-0.59000003,21612060,NC
-0.595,21612061,NC
-0.5875,21612062,NC
-0.59000003,21612063,NC
-0.6,21612064,NC
-0.62,21612065,NC
-0.65,21612066,NC
-0.6725,21612067,NC
-0.6875,21612068,NC
-0.69,21612069,NC
-0.6825,21612070,NC
-0.6825,21612071,NC
-0.6825,21612072,NC
-0.68,21612073,NC
-0.675,21612074,NC
-0.6725,21612075,NC
-0.6725,21612076,NC
-0.67,21612077,NC
-0.67,21612078,NC
-0.6725,21612079,NC
-0.68,21612080,NC
-0.6875,21612081,NC
-0.7,21612082,NC
-0.705,21612083,NC
-0.6975,21612084,NC
-0.6875,21612085,NC
-0.6625,21612086,NC
-0.635,21612087,NC
-0.6175,21612088,NC
-0.6125,21612089,NC
-0.61,21612090,NC
-0.6075,21612091,NC
-0.6,21612092,NC
-0.58,21612093,NC
-0.5525,21612094,NC
-0.52,21612095,NC
-0.5,21612096,NC
-0.485,21612097,NC
-0.4675,21612098,NC
-0.4575,21612099,NC
-0.4475,21612100,NC
-0.425,21612101,NC
-0.39749998,21612102,NC
-0.37,21612103,NC
-0.3425,21612104,NC
-0.315,21612105,NC
-0.2825,21612106,NC
-0.24499999,21612107,NC
-0.205,21612108,NC
-0.16499999,21612109,NC
-0.12,21612110,NC
-0.0725,21612111,NC
-0.035,21612112,NC
-0.0075,21612113,NC
0.015000001,21612114,NC
0.0375,21612115,NC
0.0675,21612116,NC
0.1025,21612117,NC
0.14,21612118,NC
0.1775,21612119,NC
0.2125,21612120,NC
0.24000001,21612121,NC
0.2575,21612122,NC
0.26749998,21612123,NC
0.28,21612124,NC
0.3025,21612125,NC
0.325,21612126,NC
0.345,21612127,NC
0.365,21612128,NC
0.38,21612129,NC
0.3875,21612130,NC
0.39,21612131,NC
0.3875,21612132,NC
0.385,21612133,NC
0.39249998,21612134,NC
0.3975,21612135,NC
0.395,21612136,NC
0.39,21612137,NC
0.3775,21612138,NC
0.35750002,21612139,NC
0.33499998,21612140,NC
0.32,21612141,NC
0.31,21612142,NC
0.2975,21612143,NC
0.2875,21612144,NC
0.2825,21612145,NC
0.26999998,21612146,NC
0.2525,21612147,NC
0.23,21612148,NC
0.2,21612149,NC
0.16499999,21612150,NC
0.1275,21612151,NC
0.095,21612152,NC
0.075,21612153,NC
0.067499995,21612154,NC
0.049999997,21612155,NC
0.0225,21612156,NC
-0.005,21612157,NC
-0.0275,21612158,NC
-0.049999997,21612159,NC
-0.075,21612160,NC
-0.095,21612161,NC
-0.11749999,21612162,NC
-0.1425,21612163,NC
-0.175,21612164,NC
-0.20249999,21612165,NC
-0.2225,21612166,NC
-0.2375,21612167,NC
-0.2375,21612168,NC
-0.2325,21612169,NC
-0.2225,21612170,NC
-0.205,21612171,NC
-0.195,21612172,NC
-0.19749999,21612173,NC
-0.2125,21612174,NC
-0.235,21612175,NC
-0.2475,21612176,NC
-0.2425,21612177,NC
-0.22,21612178,NC
-0.1925,21612179,NC
-0.1575,21612180,NC
-0.115,21612181,NC
-0.0775,21612182,NC
-0.0425,21612183,NC
-0.01,21612184,NC
0.0175,21612185,NC
0.04,21612186,NC
0.057499997,21612187,NC
0.0725,21612188,NC
0.085,21612189,NC
0.1,21612190,NC
0.11,21612191,NC
0.1175,21612192,NC
0.1225,21612193,NC
0.125,21612194,NC
0.12,21612195,NC
0.0975,21612196,NC
0.065,21612197,NC
0.015000001,21612198,NC
-0.0575,21612199,NC
-0.1375,21612200,NC
-0.2025,21612201,NC
-0.2475,21612202,NC
-0.2625,21612203,NC
-0.2575,21612204,NC
-0.25,21612205,NC
-0.23,21612206,NC
-0.215,21612207,NC
-0.225,21612208,NC
-0.235,21612209,NC
-0.24000001,21612210,NC
-0.24000001,21612211,NC
-0.2375,21612212,NC
-0.2375,21612213,NC
-0.235,21612214,NC
-0.2425,21612215,NC
-0.245,21612216,NC
-0.24,21612217,NC
-0.235,21612218,NC
-0.22749999,21612219,NC
-0.22,21612220,NC
-0.2125,21612221,NC
-0.22,21612222,NC
-0.23750001,21612223,NC
-0.2475,21612224,NC
-0.2575,21612225,NC
-0.26749998,21612226,NC
-0.265,21612227,NC
-0.2525,21612228,NC
-0.22749999,21612229,NC
-0.1825,21612230,NC
-0.09,21612231,NC
0.0625,21612232,NC
0.26,21612233,NC
0.4975,21612234,NC
0.7625,21612235,NC
1.065,21612236,NC
1.3975,21612237,NC
1.725,21612238,NC
1.9925,21612239,N
